Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-15,центр,Стабу 49a,4,130,4/6,Дов. дом,325000
2025-09-15,Тейка,Джутас 15,1,26,1/1,Ч. дом,28000
2025-09-15,Плявниеки,Дравниеку 1,3,71,7/10,Нов.,165000
2025-09-15,центр,Пернавас 43,2,39,4/6,Дов. дом,38900
2025-09-15,р-он,ул. Латгалес Лудзас 42 k-1,2,44,1/5,Хрущ.,46490
2025-09-15,Иманта,Анниньмуйжас 38k-2,2,60,4/18,Нов.,107000
2025-09-15,Гризинькалнс,Пернавас 43,2,39,4/6,Дов. дом,38900
2025-09-15,Межциемс,Юглас 1,3,64,1/5,Нов.,158800
2025-09-15,Иманта,Клеисту 11,2,51,2/9,602-я,46100
2025-09-15,Торнякалнс,Баускас 29,2,52,1/3,Дов. дом,81000
2025-09-15,Гризинькалнс,Дарзауглю 1,3,112,7/7,Нов.,190000
2025-09-15,Иманта,Зентенес 4,2,50,1/5,Лит. пр.,47000
2025-09-15,р-он,ул. Латгалес Лачплеша 153A,1,25,3/5,Дов. дом,25000
2025-09-15,центр,Госпиталю 36A,2,45,3/7,Рекон.,83888
2025-09-15,центр,Чака 109,3,89,5/5,Дов. дом,119900
2025-09-15,центр,Вежу 14,2,46,2/6,Нов.,115000
2025-09-15,Ильгюциемс,Балта 22,1,27,2/5,Лит. пр.,36000
2025-09-15,Иманта,Курземес пр. 126,1,36,7/9,602-я,47500
2025-09-15,центр,Стрелниеку 5,4,118,2/7,Нов.,625000
2025-09-15,Агенскалнс,Колкасрага 15,2,64,1/1,Дов. дом,85000
2025-09-15,р-он,ул. Латгалес Латгалес 137,3,74,1/2,Дов. дом,80000
2025-09-15,Агенскалнс,Ранькя Д. 34,3,96,10/22,Нов.,232000
2025-09-15,Югла,Бривибас 446,4,341,4/4,Нов.,345000
2025-09-15,Кливерсала,Узварас бульв. 3A,1,25,4/5,Рекон.,57500
2025-09-15,центр,Матиса 83,4,94,2/5,Дов. дом,145000
2025-09-15,Межциемс,Гайльэзера 7,3,87,2/9,Нов.,215000
2025-09-15,Пурвциемс,Веявас 3,2,46,1/2,Хрущ.,45000
2025-09-15,Плявниеки,Дравниеку 6,3,63,2/9,602-я,67000
2025-09-15,центр,Райня бульв. 31,2,64,2/5,Дов. дом,200000
2025-09-15,Югла,Юглас 42,2,45,5/5,Лит. пр.,61000
2025-09-15,центр,Барона 96/98,1,32,3/6,Дов. дом,78000
2025-09-15,Берги,Бривибас 446,4,341,4/4,Нов.,345000
2025-09-15,Пурвциемс,Пуцес 45,6,206,7/8,Нов.,249500
2025-09-15,Вецрига,Грециниеку 26,6,389,4/4,Рекон.,1900000
2025-09-15,центр,Ленчу 2,2,45,1/6,Дов. дом,130000
2025-09-15,Вецрига,М. Смилшу 12,5,263,5/6,Рекон.,600000
2025-09-15,Плявниеки,Ю. Вациеша 12,2,50,3/9,602-я,55000
2025-09-15,центр,Экспорта 14,2,56,4/5,Сталинка,110000
2025-09-15,центр,Цесу 43,4,87,6/7,Дов. дом,234000
2025-09-15,Агенскалнс,Добелес 4a,3,58,1/2,Дов. дом,45000
2025-09-15,Агенскалнс,Ранькя Д. 31,1,37,2/4,Рекон.,99900
2025-09-15,Агенскалнс,Пукю 6,2,50,2/3,Рекон.,137500
2025-09-15,Пурвциемс,Стирну 57,2,45,4/5,Лит. пр.,54360
2025-09-15,Торнякалнс,Баускас 15,1,43,4/5,М. сем.,32900
2025-09-15,Межциемс,Гайльэзера 2,4,77,2/9,602-я,69000
2025-09-15,центр,Марияс 1,3,80,3/6,Дов. дом,115000
